user_id,age,income,will_purchase
4dd9c47f-cd8a-4161-af4a-a9aa234014f4,53,41999,1
6bc49d00-f9c6-47bf-bff9-e2af475d3166,46,65639,1
466e930d-dfa8-47ea-8262-cab48afc3f37,43,28295,1
f05c96d2-502e-4e4c-80f7-7980102a9309,43,116294,1
aacf6617-c1e5-4a3f-89f2-5ba7045700b0,44,95747,1
e8e8437b-ceb4-4788-8d03-15d615ef12b5,30,15000,0
0621be09-c444-4986-875b-d88e1ba15e30,36,30000,1
387bffa9-3939-4a78-b23c-501551ddf07d,37,89273,1
396fd889-2810-4ad7-a4a3-8a60357ef80f,43,73702,0
3aab9fe6-0977-4ca1-88e9-0d6a7b1cf21f,35,103339,1
df4620f6-2c72-4825-b438-3caff4eb6c07,20,51507,0
43082a73-a930-42d7-99cb-778878d2e476,48,54355,1
e37776da-993f-4151-b0cb-82db20ab18c6,29,42932,1
f169b0b5-b7bd-4401-8ae6-27602deddb42,31,69140,1
905f1d03-f290-4cce-b83c-012c5d73e236,43,50750,0
3f65501f-d238-48a9-980a-a6b0ec80e0b9,23,50904,0
3b22810f-84ae-4ea8-a9b6-41b5b962d22c,28,92633,1
937b9a37-db2e-4377-acb5-60863d8ec51f,45,56347,1
43eb2bb4-d8ad-4ffe-87d8-539c063db024,35,45355,0
52eb9355-02f3-4db5-ae97-dc4dffa46493,47,94321,1
76b98670-835c-44b4-aa2f-3e1968834355,52,74990,0
32711bc1-7035-478f-a587-8e6c3fbb2be6,52,87090,1
d16cc5c7-e62f-4a71-a16d-1bd70f320984,59,78764,0
f5a0a588-e4cf-4ea5-a16a-19c6a9dc86fa,46,47291,0
899f3c61-9fb0-420d-b51d-462e6adbde44,48,54521,0
296c31b4-edc2-4f11-a30b-5dcfb676ebcb,48,51596,0
22a69c2d-6295-463b-862b-2cbc65d9af2a,54,44055,0
d8840227-a3e0-4cc1-96d0-1eb4e390313a,44,30000,1
4ec1a1fe-d5a1-46a4-9063-cfb295f195d1,65,69689,1
e43f50ef-26bc-4911-a9c7-e894ac3a047e,36,19297,0
35b24061-bfb6-4eba-8df7-6a31e742bfae,18,26831,0
f10bb8cd-92d3-4f69-9193-f1b04a881e17,44,19500,0
62e8e6a5-e488-4a3e-9bd0-0c041b220894,18,71810,0
74e13ce1-b891-43bc-9712-1c84555388f2,41,15000,0
58583987-fafd-44f5-80d8-6a44c338a99c,52,99212,1
415b9e4f-0b2f-4239-bd6f-3e95f18943f6,38,23311,0
ff9932a2-71fe-423a-a881-637fefba5925,50,33194,0
f5efb4e6-613b-4542-9aa9-6f5d9f8baa66,42,76360,1
f19e5e01-6146-4f00-bba6-46d119f5e1cc,26,51640,0
ed04c7e7-691c-4db7-912b-a8fd2f1ff4f1,54,19907,0
0b0852c8-cfb1-412b-bef7-c5d68db3d674,40,84292,1
4345f1c4-f0b0-48a4-bce4-e219f0e3ada6,40,47011,0
7a110512-cad5-4609-b57b-b6f8e5644da9,33,89329,1
6834b727-f6f3-4e5b-9184-6bf772692fe4,50,60005,1
4effe6a0-af0a-469f-8f13-44f7aab4a885,37,59173,1
a0769575-54e6-4a07-8540-238597a25c2b,51,62624,1
0c2085ed-956f-4f85-9ff7-2b0c21b8926d,45,51193,1
31aadffe-62cc-4f53-aba3-c28552219848,43,146750,1
c99ceae6-0651-444d-ac83-6e50a8c1c598,48,67577,1
ef277acd-e72d-4cb6-8fff-84ac3bac47b1,58,71531,0
