user_id,purchase_history
d2b902df-deba-4502-b48f-a78902e00df9,27
889dfe7c-a655-44f8-9d4b-1ae2b2e380af,22
9f0274f7-b5a3-4dbf-803f-27c8d906c313,16
69729073-aa55-435f-9e55-b2174c816a9c,41
a3851459-5025-494d-984a-8439f54df64d,10
1a26d99a-6fcc-4f55-88e5-165568d8e976,44
57de7007-67cc-4d2f-95da-0dd01d1c4544,42
e3c90788-207f-4620-9bed-813047e8a842,25
05f3362a-9e6d-438a-aa8f-a75c74320c8e,37
995f2d0d-f52b-4202-9657-cda2a4b9e3af,3
d2021ae7-3108-4924-ae84-85a85366e330,31
9870e891-d073-4fa3-b370-2d3b9c9ac65e,29
b6eb193a-bc95-4216-8d7e-16aaa8ae38e7,50
8e970a60-ca99-48cc-b8fd-6b75a607b3cd,27
6d1b9374-7c9f-41f1-9f90-375a4c29c176,18
9e60e4a7-2f8e-4812-a6b0-5fc6f03ba809,38
436642b1-6d48-49ac-a0a5-d94c2e941c71,40
4e853e65-5906-4147-b1f7-cef8cedb25c4,29
00b75a42-6667-4789-8869-21d3867146b8,37
ba749ba0-24a6-43ac-9057-65d0ea5fd99a,47
0be18011-85e9-4ff0-b940-4df46763c953,19
ffdbe629-7c43-4e29-8733-74cc0a860501,19
71f3aca5-fe30-4b22-acfe-665d47fa9507,25
3f63c885-2a28-4ca7-847e-7132303107db,3
474dcf95-6bda-48f9-9ed7-89a2322f9c41,28
96db2160-db14-436b-8f07-280288f74d7e,29
b92bbb54-0426-4b12-97ba-184f3b3944cd,13
8f583b3f-18c8-404c-b015-65105c0c74a9,41
852b0f78-dc6a-4350-91c0-3493d30f31a6,30
8f0c192d-25bd-470b-a0ca-a957006ba137,21
1bf18476-b6c2-42f0-b6c7-b5ee898709ed,7
5110e1d9-9466-4c40-aebc-a189e35a7ae0,40
7b05238f-e9fe-4c1e-bc64-9e25a8a42fd9,44
4346bde9-44dc-45f8-b294-da717420aa22,17
6c5711dd-5d08-4a0f-98e7-8db9eb9086b4,36
5ffce30e-cabf-45b0-a0d9-5589635ac75c,48
4635683e-35c1-402d-9d00-0c8b4677625d,29
d21b9fe8-ac96-468f-8b4b-9e8c189b5ca4,37
63ca506e-a11e-4f19-9b93-cd1145e5693d,14
fe903171-0c84-4f4c-832b-df41cb0a5f98,42
d70cba9f-6d2f-40c3-b04b-2a530f4490d7,15
16e3832c-ceef-4f2f-aa97-bdc1641f7bbb,30
dcac2d98-9728-40d5-9c94-214da77d44e5,17
16d01f52-36e1-4983-b09d-ca1c530b9c05,38
f11c4ae4-9d21-4e87-9878-07be10848423,8
1779f5b2-f46e-4bff-87a8-d97f6a36ca8d,31
4c3499d5-12c2-4f57-a7b2-6851d8e0de06,32
9593fe4c-2326-48c8-b39f-70fad9b72da6,32
8f8b47e6-de33-46e9-9858-3398affd08d3,19
230912be-c31d-4fc4-85fd-5891235dc574,32
579b80d5-5658-4669-8df6-18ece44e7fb8,44
467a0bd1-f06b-4cf5-9e6d-2f3b6763cdb2,7
