user_id,web_visits
48403298-2fb5-40cd-b97f-aaf1481aabae,91
48cc2a7b-f07f-440a-97ea-51c92663c583,41
24632d9e-b8ba-46ff-be00-f5e451652e81,58
f48f79c6-0003-4215-8ddc-e14dc8b9fdf0,56
8515c2cc-8820-4edd-9911-ebacd87a281d,40
761d73f2-2a2d-43ea-bf9e-58f65936fd2f,94
82a72da2-e449-43f1-abfa-7cb7b2bf9a34,100
85f548c7-7af4-469d-9a24-7a634988ce47,79
567d3446-0f44-4e68-9ea6-8a3207086d5a,28
79040525-622f-4430-bcd1-f385c6e96e81,76
6e6ad520-536d-4e0e-85cf-0cf11ce08ed9,32
ba3b1a9a-7858-484e-9984-c937eb3fea49,32
2b7bb811-af66-4310-aa45-e0f4f240bac3,39
53994728-b681-46ba-9279-a923be510e34,12
2285d8d4-763e-403b-b672-f264e682d76d,64
4d588813-c55d-463d-8b1e-1fb464ba40a4,62
0b77ee54-f548-4334-8247-0076098b7818,7
d40b6d87-7ab6-40a0-b615-21b6a3ac89d9,68
6cbd0962-2897-4e3f-a15e-54b24edb6f39,96
9c98622b-5847-4de5-bd44-75f32a472d59,67
69212995-59e1-4b09-a70a-0a43ded621b8,32
72b47968-bc1d-4efc-af88-f11b6d9ecf3f,60
388dc5dd-9f40-483d-b6d2-ee1c891aacba,45
0458f1ce-e010-4428-b977-2f4fa0d0c2b3,67
1f2b7b28-d172-4b72-914e-b86849bf042c,54
d596da6b-4883-4ba3-a169-d3d3f87986f8,61
739f910e-c764-4c83-b600-9782580fa887,78
3baef741-0731-4d3d-a746-0792c5f0ae6a,45
59f84386-cb43-4f18-8811-cb49300dd6ce,35
135d8e6d-2e6f-4c7f-8c88-f6ba4b9612d0,41
810caca9-b57d-490a-8569-79c751305494,5
740ce634-5aca-4c9e-a411-d136244173b0,13
735ae61b-e85f-429f-8b56-0e8ed79122fe,31
1dab6087-028f-4dd5-854d-a947f13f5ccb,20
30503b2f-bd99-4064-a0b9-0919886f00b8,20
6399b167-45e2-4794-827d-9240b972f310,64
b039d2f6-207c-427f-8240-9fd8d617afc1,12
0b8dcf76-3bd3-4f1e-8844-7da0c210425c,96
b766b016-eefc-4391-910b-ad9599e9494c,80
0044a183-c6a8-4c01-8758-c9f727f6cf5e,27
84d27098-4dfb-49f2-a66e-64011409553e,16
