user_id,purchase_history
24bd8714-7a08-4505-a22b-2e5180cf2182,57
9f44784e-5d43-4ae1-85c4-afdacdad3c31,45
5979ff41-2418-41ec-9dd9-fce055b9e71b,39
4f747a00-c4e1-4d09-a7da-e71c48ddb2ed,97
870166ea-6a14-4699-85bd-eed112a4aa92,44
70e68c23-0308-4646-93f9-4127608a5ae7,52
10d06b71-3e19-4a26-a1ca-8237da9097f6,5
ab5eca66-b969-4871-9e80-74fddf44a2fb,38
ef08f553-5f7f-40b9-aef5-4f4fd2ab2dc7,39
dc82fc75-2f47-4b03-bc89-2e8fd43145e8,40
3979f549-c23a-4c72-bd71-9961ba06dc2b,43
5a002716-48e9-4abd-80c2-637fbdd39d66,37
0098fcec-d9f9-4406-9bc4-2bf2ab5d28c5,1
0076196c-5bbd-4da8-8b87-51df43e1a045,22
fdeae994-7c61-4411-8880-35eb82839936,41
0ad7b753-3dbe-4d1f-9e09-4307252c1e8f,27
3961d122-4324-4530-95f8-c5bc5fb2acad,39
3b9a7298-9072-4054-96c8-80ee88838152,87
fc21f466-fe55-4fa3-8af6-47e72ecf630d,41
fd2211bf-50e8-4f71-adae-c4ff39ce9f03,30
d2f0b7bf-bdce-4096-9d41-a4db5214b4e6,90
e7021680-221d-406d-9d2f-f1f490263a0b,43
2da3af26-d66c-43a3-8346-c87da042a103,4
482fbb44-73ee-4929-a81c-9730ebe9aa54,87
3942c348-d3fb-4d6e-9b93-b1da60160ad6,47
b136033c-b895-4b22-82ef-941b0558fac7,50
0df56a20-dee3-4a02-9937-bca84012392b,19
62b7a4ca-78cd-4ea9-b787-459c506c14e9,11
c445fadb-3427-4a42-bc5c-78ef6a632d6a,29
2ef55a63-f4b5-4f47-915b-07d72f34858e,57
4c56c7f7-4c08-45eb-976f-8803baafd0b6,27
cac429a9-f6fb-42f6-9f77-c8ea76f47140,6
da028bd8-f0ac-457e-af06-32d373d2948e,79
6dbbae9d-1353-41db-bac6-c3ccf1e41625,9
6a61a52a-6cf7-4a2b-a2f4-b6f4cf954d2a,23
1d514673-0f78-4397-956d-283da0f6e2d4,100
d9aef290-d328-45fe-acbc-e498c1d7f31e,70
84db1395-a8e6-45fc-9381-20c6b0699c23,45
f28afa33-6e8d-47c3-b664-1fcc144fb5d8,18
74ce277a-19f7-4384-b146-235f7e95c7a9,57
aa3f7875-0d77-47af-9848-cffdbc545b2b,30
56700d46-934a-4e05-8f44-9d6e10465066,6
93de4e28-19c7-49f5-b74b-443c7e623033,22
43e813d8-6833-4aa4-bffa-b612fabf5ca2,46
e913ec20-64b7-4b19-b00a-d05f04c75667,64
8d291dae-8f46-4a41-9ca2-24919eae68f1,28
07e19bd5-0b47-4a03-bde1-c5f9e1278dbd,7
69416129-09be-4406-9de2-8b736ad39355,26
09a12831-97ba-4329-9998-5f699647a4ce,42
b61776fc-75ae-4f9c-9844-47cc1d0daec0,2
470fc99b-c4a4-4830-aab4-af8191ddacc2,1
f5b3fc9c-5aac-4212-8538-084506b305f1,54
e522ca9d-afbd-4a06-9e99-4e890eb75fea,13
7b1f835f-1efd-4f49-9360-1f66623c0219,26
e5220abe-f834-4316-94da-21ab178b87ee,34
526daca1-dc91-4814-ae32-eab5746d3851,82
5615a28b-8a72-49c0-8a66-f1338c67d6af,7
