user_id,web_visits
30c16496-d0d5-4b15-8bea-e2466dbf29cc,82
44ae3356-f57d-4607-8281-627c68e4121c,79
39ec225d-a904-430c-93f2-b2e6125fed1b,70
fcd22eed-1697-43d7-b107-7db76d013459,86
4e2a25ad-0b5f-40c1-928e-019484f6fd2e,149
7bc21724-7bc2-474d-a9ca-da5a84e3bafa,83
8a51ddc9-9714-4ced-ad47-6c805608858f,74
40166be8-ac5e-42dc-b0a6-2702179e5559,117
e4bb3466-1dc0-4f24-ae7e-ba623269e61a,122
c53786dc-860a-417e-9847-fcafe3f5207a,50
136ec5ea-00eb-4c90-b56b-7f961a477a89,83
1ba756b4-7dae-4a18-aa0d-dcf4696ca48a,12
861e706e-b0ce-4244-a2af-dc9de2f20324,122
8511dea7-807c-4b95-b85f-372f95f12a3b,116
6f4ca38d-a1ef-4816-87a5-c8c87d90eeae,137
97c8acff-feb5-49ff-98e8-c17c79033c55,50
458b8019-022f-40aa-85a0-7c7a81e195ed,56
7e3acdc3-d34c-4987-9938-56ee39715c27,11
b85b2f57-1233-4dfa-a252-8df90ef547b5,75
169e5ee7-d817-49f0-9969-345a8ab7b781,148
683688d9-c6c1-46d0-835b-9aa7ab82455d,47
9d5754d6-3de2-4620-b9da-15188872e273,123
86a5bf11-8eea-44dd-99ed-ea1510f2023a,112
ade7e53f-ecab-4191-b4f0-a0c449484be7,38
5478739e-b549-4385-a45f-bd5d812597d4,119
c32e9c7f-20d4-4bbb-ae44-4f10265e0e7a,41
9c2e5d14-92c2-43b4-bd15-2c2eb49d6676,22
3c29f82c-98ff-4669-94f5-2209202135f6,80
4cd025ac-d092-4594-b39d-4dabac12e58f,87
407833e5-c69e-4f3b-af28-96f51a7aab7f,99
f4573d49-6162-41f0-8460-f8133ebebd29,50
7e29e8dd-61ec-4ffc-9e6a-f11d65dedcbc,80
4f5dfaaf-a508-45f9-a6d4-171f90c7ac97,120
072ffc8b-5b9c-40a4-b550-4ad391bb2125,45
c64c2c56-b8b4-45d9-a965-020d171f1369,27
43b5ad5c-0c2d-4ee3-9720-1486eaf54d55,133
4bc0816d-1df0-43ad-baa2-a336b1f5d8e9,86
387c8fd3-73bb-4f8e-886c-9984dc951b32,48
1d8f7e39-531f-4c9c-b84a-f4098204b903,41
3c30bdd4-e74a-4749-bc9d-1405d35def09,16
81787adb-60f7-464e-8475-9b00d77df007,39
30e0b3cc-8c87-4593-b07d-eff9b7ae5dec,66
