user_id,credit_score,location_category
4b56110c-ccd9-4528-a48f-2eeb31399c76,541,4
299d012e-fba4-42e4-bfb1-92f38c172457,736,4
f314f2f4-2ba8-4dd0-b828-40a9ea105c3b,477,4
40899269-8701-4843-8fbc-f96429bd4fcc,435,2
e7b3c017-5f0a-4a2a-b197-9efcb185deb4,617,5
09633378-f262-4e9d-a276-b2a5e4fee719,611,5
d7655ad3-0ef1-4293-97b0-1e7804ee321a,589,5
8f27e7ea-e3b8-488d-86be-61d6d2e8b010,461,2
b2eb5050-a422-40d7-8918-59c207b4a7a1,608,5
8e3fc4f3-4bae-4967-810c-677f10bad013,467,2
3897f13b-bb31-4e10-ae34-14c369f54734,589,4
31802fba-efa4-4c74-8b16-8c80a5242fc0,495,4
666ffec8-4271-4d4c-9c31-6c2a9e90cfa6,500,1
49117fac-1bff-4e9b-8d89-0f34c7e8f8b0,308,3
573a2271-c3cf-4285-81be-c7363ec4076d,573,4
20bde957-478a-45ed-b807-61f2ca2cf8ac,407,2
23f9e8de-a54f-4bbc-b028-bc64ab903736,548,5
4912feed-d8c5-4bbe-9e2f-c416fd5d0552,651,3
bc69589f-37c7-4d99-abaa-804f4d845d34,618,5
98cfe298-29fa-45ff-b5b9-76a7063c39d2,615,2
dc01a998-fc69-493d-9d91-c7c2d6c7b683,657,5
dd564fa8-c123-474a-b982-b3f5443de3bb,430,2
816cb513-9220-4826-b69f-9168da89fcde,692,4
38db2538-007d-4337-a841-f0393765746a,369,2
0c5a6cd2-6e35-4d73-bcd8-9f3c01a22398,818,1
30271181-53ad-4943-bb39-5d5ded93af09,561,4
21c0ac3f-1117-4645-a5db-0d15da6e4bef,740,2
d814e324-5bff-4e25-ae8a-d4977b05107c,329,4
d8032150-d589-4483-86bf-6d702347ac39,710,4
80354333-ddb8-423d-977a-115dc4e38b09,683,5
a8a5c65c-1780-430e-829a-f6947a44c494,832,1
7a71aeb0-8b10-487b-ad47-789e40c22d79,559,3
46d314f1-67ce-4cb8-a17f-5099d9063255,797,1
9d8771fa-5382-4ade-affa-9c35ef72752a,582,4
5fbf8660-5089-4906-b89b-a2ec87adcb1f,563,5
8e000ce9-9402-4540-b972-cf310cbb7ce4,479,3
5b3434af-6f83-43ff-84a9-be042459755a,626,5
d49bbc5e-bfc8-4888-b921-7236114749b7,336,3
5f661193-50b9-4c94-a5ca-7968e546e5aa,528,4
6e20590d-159f-44dd-ab7f-b1acc40deb65,650,1
b5e9e9ce-6eaf-4fe1-a5a6-920d879f417e,671,3
715000d0-4315-4187-bad7-87cd132f6448,759,1
6a4d96b3-f4d5-498d-9798-e9d629b70f1e,628,2
e8de7136-dcab-40d6-b92d-230855f2e595,779,2
0e799092-572f-436f-a5a9-c4c20c138573,567,2
97fc8a9a-18b6-40b5-b424-6c079365c12e,563,2
35a2c408-c1a1-4c1a-ba6b-94885ff5d9c5,476,1
562b8d9d-840c-4120-a2af-dc039e1a7f47,656,2
72c16728-f978-4c30-be16-826a4ebcb320,596,5
adb80aaf-42f4-447d-a95f-d564c0beea30,578,1
6d01e79a-0d27-404f-8958-091655ad442b,683,5
93539f94-f1dc-43f1-83cc-b8a1fdf78cc7,799,3
f62cfc90-d51a-4d0e-8fa1-9dc45bed48cf,509,4
4d9b108e-5b12-4249-9d9d-27c851696172,534,5
d27988ab-b8b6-46e7-8b53-932553fa17ee,366,3
5cad5434-41bd-4e47-b5c9-00293fb123f9,546,1
44ab7b8c-9c7b-459d-ac41-a24a2f85edac,543,3
81de0f14-0ad8-4010-81f6-b4e81ca5c79c,623,5
2c0f7137-963e-4b54-b759-db74cb985282,365,1
5ea0abe4-6b0e-4697-b9b5-d0c04f839f45,741,5
c86240f2-e165-47ce-8c7e-5b0dd7b0be99,555,3
f8832211-28b0-48e4-8380-5c54c5601dba,702,3
6c0ce2d6-f2f7-43fe-8365-e9a6ad742992,514,4
e5ada696-ea1e-480c-8e77-02847a33e32e,714,3
14e8c127-01d4-4518-9916-bbe909b30e45,594,1
1878a9a7-803d-47ad-aed1-7166f5cf23c4,461,4
e8b6fff5-642c-4ef0-a751-88ea7e577e1d,713,4
62e5820c-94ad-466e-9471-5e1e4294a7a5,772,5
a2ac3ed5-1325-4df1-8ec6-e7985a373a18,407,3
b6ace274-f27d-46bd-a841-d9b686621e78,836,2
d5f1493b-1ee3-4733-986e-1a1f0dcbe072,459,3
f1491acd-4097-4df1-8c4e-5222de7272d5,601,3
80916674-80db-4da2-87ed-df8168b4f014,661,4
a427ba70-670c-4627-9d82-9eb910cd457a,621,2
1dd7d4c9-a925-435f-8a03-d13906b93603,723,2
1dcb012b-ddec-427e-8550-aec3c7500aa2,547,3
c5e0b137-6c25-4476-a67b-bdf5fc4d9b52,551,5
52f9331e-a77a-414d-b25d-b50411d9386f,332,2
da62964d-d3e6-4b06-9503-3720de175021,583,1
3b2bcd68-6f2b-409f-bd05-21c3e2f3376a,617,5
bbfcd124-6b0e-4fd1-855a-f3b268d89f51,666,4
5024c8c2-bbbe-4a78-8248-a409f38669e7,529,3
b53c6b9c-cdb3-459c-9f59-d35f11ea1056,569,1
619823a5-d5a5-4f57-8124-6544b92ce9e9,539,1
b845973d-eec4-4cd9-b542-ccdccf4f6671,423,3
f14e70fa-c8f2-4a14-932b-7f436d070ed0,816,5
ffa40394-fc44-4810-82d6-4f39b8903ed0,666,1
ea43712f-9474-475c-901b-84ad5f94d65d,724,3
d8d2a75a-d6e6-4ed5-a9bb-2dcc9c021393,487,3
bb4cba7b-38fd-4883-8aa3-23d71891e6e7,747,3
ce11f92e-cb13-4067-8f3c-ee7bccff6342,812,1
11b01b84-ad1d-4ffd-8ddb-7b4c69504178,325,4
2c313788-75c0-4766-ac2c-9c57fb328486,316,3
f6a1189c-2922-48fc-9095-00a2c641b8ea,743,2
7357661f-8ccc-4360-ae91-31f1b2eef3cb,683,3
e2131c56-6634-443c-bca3-5db3392e55fe,722,5
a4fa63c8-0a3e-4845-a639-3d45ba053aa7,774,2
cb2e29d5-7952-425d-84f6-a33dd7ca3938,336,4
153ab844-970e-4d4f-8bbc-2547ecca308d,587,1
7dad9cbb-9ca7-4927-89a7-5dad48a74f51,432,3
6992453b-badf-443a-9774-91dd4b292258,491,3
9ac40e54-ec2e-42f0-8bba-72d285a65541,579,3
c0cb3bd8-4051-4d81-96ff-8c27f29759c8,386,5
c0c79fae-09df-4036-8734-0cd9878a195b,375,5
ac6f505a-cfeb-42f9-a2af-54f060d855d0,513,5
f91d5981-b8d8-4d06-a19e-52c3fd13007f,756,2
3c5fc69e-3e45-43b6-b07f-199fef299e33,722,5
2e3ee2a0-1568-46f2-8995-3a39752a2f9c,540,3
c39d6e24-a8d0-4ea0-b6e1-ba1923f837f1,323,3
5ae4817a-8525-4ac5-b4a3-95cebaa3f85a,482,1
aadb8bbc-51d8-4620-ad85-cd8afa9e4ab4,635,1
c447d323-0d64-487c-9e1d-dba9bd104755,810,3
1d5b42af-2512-4755-91d7-a1aec5a08f02,509,2
a4dd1594-d5b7-4234-855d-fc8b55841635,439,3
066a366b-45a6-4b8c-9338-ed175359d4e7,369,2
1af50765-d311-4804-ae7d-09eb152cada7,346,4
2d9ce107-8fc2-4b0d-a262-55a509e683c5,583,4
65ff6ba5-432b-4265-9e52-d38168b1ad21,769,3
c66dd505-31ec-4f21-850e-0a941fb60b5e,805,3
a6bffb80-ca41-4505-9922-271c7ed2f93f,639,5
aed5aae9-9d54-4743-98a9-ecf20a3acc71,650,4
32a851e5-d77b-40fc-a435-88ef68b84389,656,3
f0445436-b72c-434a-85c1-d7f9006ee55a,626,5
1a00b16d-3004-48b4-9803-757af09d1708,603,3
d42fbb22-6d7b-4259-a9cb-801a52602384,683,3
34de9fba-374d-4f08-a985-21fe435a59b3,676,3
d749397d-d733-44fc-8e6f-8f5905c5767d,543,3
3e197d5d-4a7e-4ab8-bca5-5e8ebfa1786e,310,4
c59dc844-ff0c-4e32-92bb-67aefa3d26c3,606,3
7d78ac60-5829-4b6c-b3d9-c0f9c2ca7aef,446,2
3ade6bef-3686-457b-997c-1989fb13cc70,550,5
441a5076-88e3-420e-a6c4-72dcddffc646,467,3
89e3623a-c50d-41e6-8dc1-9014740be2f0,523,2
3c30236c-ea3e-414b-a273-7ec62ef1990d,541,3
7a006042-0ecd-47c5-b0ee-4da152ad02a7,360,4
095d84cf-79be-454e-9e86-587608c0dc17,303,5
71aad3ae-c218-4afa-bc10-f62617e2a212,782,2
