user_id,purchase_history
299d012e-fba4-42e4-bfb1-92f38c172457,26
8654ff7c-7c99-445c-a647-c3b73cf8f045,28
cbad9ac7-4751-41fc-ad9a-062f366c4988,40
c9d5f4b4-99de-4493-b09c-d7b192ae436b,34
0901b562-b675-4f2a-b0f3-78c93931fda1,41
6fff172a-ce3b-45c2-9514-d73fbff99d9d,32
b4cd6e1d-3059-4d1a-bcf3-920f78c6b28f,38
816cb513-9220-4826-b69f-9168da89fcde,16
974b8224-dd4f-4dc9-8d83-323e04c5e06f,31
81de0f14-0ad8-4010-81f6-b4e81ca5c79c,20
977006ed-80bf-4ba6-b85a-7ac36d428794,15
980315d2-ae53-4f55-ad99-93842aede367,9
f0445436-b72c-434a-85c1-d7f9006ee55a,3
dc01a998-fc69-493d-9d91-c7c2d6c7b683,23
f146dd8b-10fe-4866-ae1a-a6c8bf3dde6c,17
6dc872cc-bd72-489f-8e79-822d2574daee,49
8c5097bb-8e8c-4960-8ab7-e6c28ddb334f,15
7fa1a0e9-2f54-4130-a5a3-9de53a16441d,1
a1ee9d29-fceb-44a7-a7f3-975e5dcda9db,48
9000ec0d-a287-4122-9af7-6154d4be4623,18
1ac078a5-a2cb-454a-92a2-0fd0516f318b,33
022fc63f-23c8-4dec-b613-71a186a552d5,5
9ca361d7-f83a-4cf0-a33c-324de56a0523,6
cabbf887-3b15-406c-be49-da0b1f53a578,7
82e016b9-cdc6-4f64-9512-80e55d5e09cf,40
27a63487-ec60-4d2c-820b-af3bdf97af73,5
3b2bdc34-ec50-4909-9a1e-0813b61e566b,4
5d69bd53-67ad-4903-a9f1-ee28161b7594,33
4d9b108e-5b12-4249-9d9d-27c851696172,6
a0b68775-95d5-441e-be27-9186c8a63d89,22
32c49bf0-eee1-4223-ba94-a327e97618d7,40
02389104-ff5e-4211-af71-9597afd29b4b,29
abf2e63a-67ae-4855-9c81-c70a8d18260d,15
48260117-04cc-43c9-9d01-081bdf7b1c52,42
