user_id,age,income,will_purchase
5fed8089-9d94-4b8b-a475-da526e17e778,38,72617,1
4fad9ae9-30c3-4110-b559-fbf3453a3306,58,27623,0
20c1b4a6-7e24-43f8-827b-6be98f5f8633,53,15000,0
4f3e8352-5425-4bc5-a903-aab1b048ea5b,31,29519,0
3aff9f14-8ea7-4279-88c9-2cdc2257efa9,47,97486,1
9100b794-24e5-4f53-8d96-4d59e665d337,42,55372,0
dd4d76da-8c74-4952-a8ea-98608b85090f,44,70889,1
95a26ae8-901e-4d28-9e86-2aa8e6fd727e,49,83328,0
aa8a2b90-4188-48ef-a295-21a91e46b17a,22,66120,0
116ed3c5-0a3e-45a0-90d8-727277f69a44,43,30430,1
c924463f-9d9b-4f4b-bfbb-ebcaee0d7f49,25,57174,0
b4d0da12-f43f-4db9-9ef3-532e3c145338,31,60040,1
f43e3f73-538c-4f54-9d49-eac5ea47fecb,33,60127,0
54f70d50-5a23-4bfb-9661-f9d493fd0daa,48,67758,1
e8c1bfc1-4689-479d-97e8-4cec231518c2,18,49479,0
3c124a44-735d-43b4-ad8c-b29d6ed7e8e7,25,71873,0
4a7723a4-62a2-4e1c-95b6-b4733e8f96f8,51,75224,1
6f12d2c2-f14b-4f8f-b458-87f973a3a4b2,37,59578,0
6d66140c-3112-4650-8316-506b24163c09,50,19500,0
f3b0ae36-c0c8-4d37-9f43-eeea01e43e95,42,78860,1
6b80d71a-5167-4dd9-8ddf-43400a58fff7,36,67791,1
be00bcad-f411-449f-882a-815ea2e2698b,43,92989,1
292a0dca-7e22-44a5-a1fe-c27a550a243f,30,58301,0
742b13f7-c4b4-48d1-a733-3e4e08f268e5,44,43589,1
95e45dce-36e9-4af9-b46f-035f07b3245c,62,76271,0
fcb7ddd7-e3a5-4e96-aa1a-23f9b404ea12,37,89161,1
be6e18a2-6379-4b49-ad6d-0efc52396f59,41,56029,1
7513669b-9d9a-4aa1-bf0b-5f830bf3c8bd,48,67393,1
e0a184cb-c601-46de-8e75-52098cad5e82,37,19621,0
60a28d84-f568-4680-a0b5-0e41baca514b,43,83683,1
0344e24e-2e5d-4139-b8a7-1927792b8cd0,34,54813,0
0545025e-8131-42a4-8f22-abd118df076e,22,15000,0
